name,spider_type,spider,job_id,captcha_failures_count,captcha_requests_count,captcha_sucesses_count,download_exceptions_count,request_bytes,request_count,response_bytes,response_count,response_200_count,response_301_count,response_302_count,response_307_count,response_400_count,response_403_count,response_404_count,response_405_count,response_407_count,response_408_count,response_410_count,response_500_count,response_502_count,response_503_count,response_504_count,request_filtered_count,items_scraped_count,items_dropped_count,requests_dequeued_count,requests_enqueued_count,total_inserted,created,modified
wed-amazonmt,WEDS,amazonwed,580cee84-2520-4db5-b25a-51687f962d1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-hatfieldfuneralhome,FUN,CFSlistings,5bd2ee3b-0aec-43b8-bbab-d421ec98767c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-northbrevardfuneralhome,FUN,CFSlistings,5ca3601f-984c-4692-b102-600af33239a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-legacy-theberlincitizen,OBIT,obitLegacy,5ffd50bd-3a97-491b-b274-339132f41878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-wilsonfh,FUN,CFSlistings,6027cac3-04e8-4fa1-91ca-89a495b00a37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-mcmurroughfuneralchapelliberty,FUN,funeraltech,60b5ff29-87d8-4c45-ba38-cc2e8e6017ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-edwardjgarrfuneralhomeinc,FUN,CFSphp,611368a6-fd1f-4e43-958c-87710b6b09b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-grandviewmemorialfuneralhome,FUN,funeralone,613eac53-ffe6-4949-93fe-4e4a79f9e269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-wwwphillipsrobinsoncom,FUN,funeralone,637525f6-24b4-4008-a221-319dc4915a38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowmo-cole,FSBO,zillowbot,63dfc87f-7eb5-4040-becf-aaa0be375764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonme,WEDS,amazonwed,643d9b7c-8caa-4966-9ac3-c34133cd4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonma,WEDS,amazonwed,6520f736-bfb3-444f-9427-675416f0b29f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonnd,WEDS,amazonwed,66a35c39-d0bd-4164-9507-b9cbb7b3bc97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-funeralhomeabseconnj,FUN,frontrunnernew,68119e97-ecdf-4ae2-a2a9-973a52b2bfd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-joineranderson,FUN,funeralone,68156283-54a3-421b-a073-1be5f62691b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-kennedyandersonfuneralhomecrem,FUN,CFSlistings,687d157f-f9f2-4d1e-9d0b-1ab8d46e861e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-lambethtroxlerfuneralcremation,FUN,funeraltech,6963e008-b140-4c44-9383-dfafd8259007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-robertfmulcahyfuneralhome,FUN,CFSphp,69b6f61f-601d-4fa2-a537-aecb129b9ca8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-portervillefuneralcremationcen,FUN,CFSlistings,69ecffd2-f863-426d-a7a9-d8b34387e3fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonmi,WEDS,amazonwed,69fb2e6e-1511-4987-8590-4aadce1d8c89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowks-shawnee,FSBO,zillowbot,6ae3040e-4fdb-4889-ac40-0010f7986a43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-legacy-retfordtoday-uk,OBIT,obitLegacy,6c734d34-b07c-434e-a529-1b270cb7ce45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowaz-santacruz,FSBO,zillowbot,6d7782f0-83dd-4e40-a804-348ee594eb59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-robertsonfuneral,FUN,funeralone,6e057388-2fd0-4268-bed7-a246e276bcd8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowar-crittenden,FSBO,zillowbot,7431b112-a2c2-47cb-9062-cdcef4589b61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-lewisabnerhomeforfunerals,FUN,fun-frazer,74850677-80cb-436f-ac81-f964c046af12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonak,WEDS,amazonwed,76096b3c-4b2b-42e5-a9de-f022159611b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-palmettofuneralhomecremationse,FUN,CFSlistings,79541cea-b844-422c-a003-9abf1d31c89e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-woodwardnews,WEDS,wed-cnhi,79a9d945-bad8-469f-be68-9eef6cf9b583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-heritagefuneralhomecrematory,FUN,CFSlistings,7b116192-f8a1-4956-8def-fa6ebc80e25c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-fossettmosherfuneralhome,FUN,fun-frazer,7c656a3f-c208-432a-bdc5-9c290e7f4d39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-barberlanier,FUN,fun-frazer,804baa3b-2d1a-4589-acca-db8888568fc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
